"Snap* Hosted Payments by Popular Payments","Snap* Hosted Payments by Popular Payments"
"Customer was redirected to the Snap* Hosted Payments Checkout for payment.","El cliente ha sido redirigido hacia la página de Proceso de Compra de Snap* Hosted Payments para realizar el pago."
"Customer cancelled this order via Snap* Hosted Payments Checkout.","El cliente canceló el pedido en la página de Proceso de Compra de Snap* Hosted Payments API&trade;"
"Pay by VISA, MasterCard or Maestro","Pagar con VISA, MasterCard o Maestro"
"Pay by Credit Card at Snap*","Pagar con Tarjeta de Cr&eacute;dito en Snap*"
"Snap* Hosted Payments is a flexible, web based payment processing service that offers multiple payment options.","Snap* Hosted Payments es un servicio Web flexible de procesamiento de pagos que ofrece múltiples opciones de pago."
"Select your Snap* environment.","Seleccione su entorno Snap*."
"Merchant Code","Código de Comercio"
"Your Snap* Hosted Payments code.","Su c&oacute;digo de Snap* Hosted Payments."
"Merchant Authkey","Clave de Comercio"
"The key corresponding to the Snap* Hosted Payments code.","La clave correspondiente a su c&oacute;digo de Snap* Hosted Payments."
"Use iframe layout","Utilizar diseño iframe"
"Select whether Snap* is integrated in your shop using an iframe.","Seleccione si Snap* se integra en su tienda mediante un iframe."
"3D Secure Trigger","Nivel 3D Secure"
"Value that triggers 3D Secure. Empty -> Never, 0 -> Always.","Valor a partir del cual se activa 3D Secure. Vacío -> Nunca, 0 -> Siempre."
"Order Prefix","Prefijo del Pedido"
"Order Prefix sent to Snap* Hosted Payments.","Prefijo del Pedido enviado a Snap* Hosted Payments."
"Resume Payment","Completar Pago"
"Credit Card Logos","Marcas de las Tarjetas de Crédito"
"Store Cards","Almacenar Tarjetas"
"Let customers store their Cards into Snap*.","Permitir a los clientes almacenar sus tarjetas en Snap*."
"Stored Cards Policy","Política de Almacenamiento de Tarjetas"
"URL to the page in your store that contains the Policy applied to the Card Storing system.","URL a la página de su tienda que contiene la Política aplicada al sistema de Almacenamiento de Tarjetas."
"Popular Payments - Stored Cards","Popular Payments - Tarjetas Almacenadas"
"Customer My Account Stored Cards","Cliente Mi Cuenta Tarjetas Almacenadas"
"My Stored Cards","Mis tarjetas almacenadas"
"Card Number","Número de Tarjeta"
"Exp. date","Caducidad"
"Delete Card","Eliminar Tarjeta"
"You have no stored cards.","No tiene tarjetas almacenadas."
"The stored card does not belong to this customer.","La tarjeta indicada no pertenece a este cliente."
"The stored card has been deleted.","Los datos de la tarjeta han sido eliminados."
"An error occurred while deleting the stored card.","Ha ocurrido un error al eliminar los datos de la tarjeta."
"Are you sure you want to delete this stored card?","Los datos de la tarjeta serán eliminados, ¿está usted seguro?"
"Pay with a new card","Pagar con una tarjeta nueva"
"Store card data for future purchases.","Guardar los datos de la tarjeta para futuras compras."
"Privacy Policy","Política de Privacidad"
"The card data used in this payment will be stored for future purchases.","Los datos de la tarjeta utilizada en este pago serán almacenados para futuras compras."
"Card Store is disabled. Please contact support.","El almacenamiento de tarjetas está deshabilitado. Por favor, póngase en contacto con el soporte."
